slug,name,domain,category,ycBatch,description,source
ai-2,&AI,tryandai.com,Legal,S24,Collaborative workspace for patent litigators,yc-s24
ryse,Ryse,rysemarket.com,B2B,W24,The secondary market for real estate leases,yc-w24
terminal,Terminal,withterminal.com,Supply Chain and Logistics,S23,Plaid for Telematics Data in Commercial Trucking,yc-s23
extend,Extend,extend.ai,B2B,W23,The Modern Document Processing Cloud,yc-w23
langfuse,Langfuse,langfuse.com,"Engineering, Product and Design",W23,Open source LLM engineering platform,yc-w23
lenco,Lenco,lenco.co,Banking and Exchange,W22,Pan-African digital bank for Africa's 50m businesses,yc-w22
spadeworks,SpadeWorks,spadeworks.co,Operations,W22,AI agents that turn every call into revenue for trade businesses,yc-w22
redbrick-ai,RedBrick AI,redbrickai.com,B2B,W22,Rapid medical data annotation,yc-w22
finnix,Finnix,finnix.id,Insurance,W22,Financial technology solutions for Indonesian creative businesses,yc-w22
spade,Spade,spade.com,"Engineering, Product and Design",W22,Enriched transaction data you can build on,yc-w22
upbanx,UpBanx,upbanx.com,Fintech,W22,Brex for D2C Brands and Content Creators in Indonesia,yc-w22
monto,Monto,monto.mx,Fintech,S21,Salary on-demand platform for Latin America,yc-s21
hotglue,hotglue,hotglue.com,"Engineering, Product and Design",S21,Native user-facing SaaS integrations for your customers,yc-s21
waydev,Waydev,waydev.co,Productivity,W21,"The Engineering Intelligence Platform | DORA, SPACE, DX, CORE 4",yc-w21
caribou,Caribou,usecaribou.com,Fintech,W19,Full-stack Transfer Pricing for global startups,yc-w19
upgraded,Upgraded,getupgraded.com,Consumer Electronics,S16,Upgraded helps retailers and carriers sell devices on subscription.,yc-s16
tara-ai,Tara AI,tara.ai,Productivity,W15,"Meet Tara AI, your new engineering efficiency co-pilot.",yc-w15
storyworth,Storyworth,storyworth.com,Home and Personal,W11,Record your family stories and print them in beautiful keepsake books.,yc-w11
didit,Didit,didit.me,Infrastructure,W26,All-in-one identity platform for fast human verification.,yc-w26
clearly-ai,Clearly AI,clearly-ai.com,Security,S24,Automate security and privacy reviews,yc-s24
cartage,Cartage,cartage.ai,Supply Chain and Logistics,S24,Autonomous freight coordination,yc-s24
pointone,PointOne,pointone.com,Legal,W24,Automated time tracking and billing for law firms.,yc-w24
topo,Topo,topo.io,Sales,W24,AI Agents for outbound working by your side,yc-w24
momentic,Momentic,momentic.ai,"Engineering, Product and Design",W24,The AI-native automated testing platform,yc-w24
mantys,Mantys,mantys.io,Analytics,W23,ARR Reporting and Forecasting for SaaS companies,yc-w23
inbuild,inBuild,inbuild.ai,B2B,W23,Workflow Automation for Construction Finance,yc-w23
cosine,Cosine,cosine.sh,B2B,W23,Fully Agentic SWE,yc-w23
invofox,Invofox,invofox.com,Finance and Accounting,S22,INVOFOX is the document processing AI for software companies,yc-s22
medplum,Medplum,medplum.com,Healthcare IT,S22,API first electronic health record (EHR) that is open source,yc-s22
albiware-inc,Albiware Inc.,albiware.com,Construction,S22,B2B SaaS for insurance damage repair contractors.,yc-s22
typewise,Typewise,typewise.app,Productivity,S22,Boosting customer service and sales productivity by 2-3x.,yc-s22
kaya,Kaya,usekaya.com,Marketing,S21,"Marketing agency for startups: 10x cheaper, better and faster",yc-s21
wereno,WeReno,wereno.com,Construction,W22,"AI platform for construction, renovation, and property maintenance.",yc-w22
elementary,Elementary,elementary-data.com,Analytics,W22,Open-source data observability for data teams,yc-w22
kular,Kular,kular.ai,Sales,W22,AI Lead Generator,yc-w22
plumter,Plumter,plumter.com,Payments,W22,Financial tools for cross-border trade,yc-w22
rebill,Rebill,rebill.com,Payments,W22,Payment infrastructure designed for LATAM.,yc-w22
creizer,Creizer,creizer.com,Credit and Lending,W22,Clear.co for LATAM. Revenue based financing for online sellers.,yc-w22
lumina,Lumina,lumibot.com,Operations,W22,AI+human powered automation on job-community platform with 1.5M…,yc-w22
jutsoo,Jutsoo,jutsoo.com,Finance and Accounting,W22,All your corporate bank accounts connected under one platform,yc-w22
better-opinions,Better Opinions,betteropinions.in,Gaming,W22,Prediction market of India,yc-w22
rehook-ai,Rehook.ai,rehook.ai,Marketing,W22,"Run, Track and manage any and all user incentive campaigns.",yc-w22
streak-2,Streak,streakcard.com,Payments,W22,A neo-banking platform for children in India,yc-w22
zensors-inc,Zensors,zensors.com,B2B,S21,AI to understand and automates the physical world,yc-s21
telmai,Telmai,telm.ai,B2B,S21,Automated data observability and quality for Data Lake,yc-s21
adaptyv,Adaptyv,adaptyvbio.com,Drug Discovery and Delivery,S21,We're building fully automated labs for protein engineering,yc-s21
archbee,Archbee,archbee.com,"Engineering, Product and Design",S21,TURN STATIC DOCS INTO INSTANT ANSWERS,yc-s21
truss,Truss,trusspayments.com,Banking and Exchange,S21,Banking for construction,yc-s21
levro,Levro,levro.com,Banking and Exchange,S21,Multicurrency account & international payments for businesses,yc-s21
deskimo,Deskimo,deskimo.com,Office Management,S21,"Workspaces on demand, paid by the minute.",yc-s21
dailybot,DailyBot,dailybot.com,Productivity,S21,AI Assistant and Chat Add-ons for Work,yc-s21
epsilon3-inc,Epsilon3,epsilon3.io,Operations,S21,"AI-Powered ERP, MES, and Test Software for Complex Operations",yc-s21
weweb-io,weweb.io,weweb.io,Operations,W21,WeWeb is a no-code front-end builder that connects with any back-end.,yc-w21
gerald-technologies-inc,"Gerald Technologies, Inc",joingerald.com,Fintech,W21,Buy Now Pay Later + Cash Advance for Household Essentials,yc-w21
svix,Svix,svix.com,Infrastructure,W21,"Enterprise ready webhooks service, open-source and in the cloud",yc-w21
alinea,Alinea,alinea-invest.com,Consumer Finance,W21,Automated investing for the next generation 💸,yc-w21
aden,Aden,adenhq.com,Infrastructure,W20,Scale AI agents profitably,yc-w20
shuttle,Shuttle,shuttle.dev,Infrastructure,S20,Build Backends. Fast.,yc-s20
verifiable,Verifiable,verifiable.com,Healthcare IT,S20,API for healthcare compliance,yc-s20
deepsource,DeepSource,deepsource.com,"Engineering, Product and Design",W20,"Unified DevSecOps platform, helping developers ship good code.",yc-w20
skypher,Skypher,skypher.co,Security,W20,AI agent for Compliance Questionnaires Automation,yc-w20
guruhotel,GuruHotel,guruhotel.com,Payments,W20,AI-native direct booking infrastructure for global hospitality,yc-w20
apurata,Apurata,apurata.com,Credit and Lending,S19,Point of sale financing for Latin America's middle class.,yc-s19
zeta-surgical,ZETA SURGICAL,zetasurgical.com,Medical Devices,S19,Next-Generation Surgical Navigation and Robotics,yc-s19
first,FIRST,firstdelivery.com,Operations,W19,The best way for any business to offer delivery.,yc-w19
upsolve,Upsolve,upsolve.org,Consumer Finance,W19,Helping low-income Americans overcome debt and rebuild credit at…,yc-w19
biobot-analytics,Biobot Analytics,biobot.io,Government,W18,Population health analytics powered by wastewater.,yc-w18
token-transit,Token Transit,tokentransit.com,Government,W17,Complete fare payment platform for public transportation,yc-w17
gigwell,Gigwell,gigwell.com,Productivity,W16,Building the Future of Live Event Bookings.,yc-w16
mio,Mio,m.io,"Engineering, Product and Design",W16,Mio powers seamless communication between workplace chat apps.,yc-w16
capitol-ai,Capitol AI,capitol.ai,Productivity,S24,"Model-agnostic AI for enterprises: governed, embedded, decision-grade.",yc-s24
distro,Distro,distro.app,Supply Chain and Logistics,S24,The AI co-pilot for sales reps at industrial wholesale distributors.,yc-s24
conduit-ai,Conduit,conduit.ai,B2B,W24,Conversational AI agents for Customer Service.,yc-w24
zaymo,Zaymo,zaymo.com,Marketing,W24,Interactive email builder for ecommerce brands,yc-w24
maintouch,maintouch,maintouch.com,B2B,S23,Scale SEO and AI SEO from one platform.,yc-s23
1stcollab,1stCollab,1stcollab.com,Marketing,W23,Performance-Optimized Influencer Marketing at Scale,yc-w23
findly,Findly,findly.ai,Analytics,S22,Co-pilot for Business Intelligence,yc-s22
primevault,PrimeVault,primevault.com,Asset Management,S22,Infrastructure powering stablecoin and digital finance,yc-s22
provision,Provision,useprovision.com,Infrastructure,S22,Ironclad for construction,yc-s22
nest-genomics,Nest Genomics,nestgenomics.com,Healthcare IT,W22,Software to launch and integrate genetics into clinical care,yc-w22
nash-2,Nash,getnashglobal.com,Fintech,W22,All in one finance platform for borderless businesses in Africa,yc-w22
apollo-3,Apollo,apollofirst.xyz,Fintech,W22,Payments & Loyalty Infrastructure,yc-w22
stafbook,StafBook,stafbook.com,Human Resources,W22,Rippling for Southeast Asia,yc-w22
layerup,Layerup,uselayerup.com,B2B,S22,Agentic AI OS for Financial Services and Insurance,yc-s22
kaagaz,Kaagaz,kaagaz.app,Consumer,W22,'Office' Suite for Mobile-first Businesses in India,yc-w22
ngrow-ai,ngrow.ai,ngrow.ai,Marketing,W22,Low-code SaaS for marketing in push notifications,yc-w22
massdriver,Massdriver,massdriver.cloud,"Engineering, Product and Design",W22,"Deploy secure, scalable cloud infrastructure in minutes not days",yc-w22
vantedgeai,VantedgeAI,vantedgeai.com,Banking and Exchange,W22,Scaling investing workflows with AI,yc-w22
happl,Happl,happl.com,Human Resources,W22,Your personalised benefits and engagement platform for global teams,yc-w22
sekilo,Sekilo,sekilo.com,Supply Chain and Logistics,W22,Poultry processing & supply chain for the SME foodservice industry.,yc-w22
tenyks,Tenyks,tenyks.ai,B2B,S21,The World's Most Versatile Video Answering Engine,yc-s21
payhippo,Payhippo,payhippo.africa,Credit and Lending,S21,Loans to Nigeria's SMEs in under 3 hours,yc-s21
repool,Repool,repool.com,Asset Management,S21,Modernizing hedge fund back office software and services.,yc-s21
sturdy-2,Sturdy,sturdy.finance,Credit and Lending,W21,DeFi protocol for permissionless lending,yc-w21
hubuc,HUBUC,hubuc.com,Payments,W21,Global Card Issuing and Payment Processing Engine,yc-w21
mystic,Mystic,mystic.ai,Infrastructure,W21,Low latency API to run and deploy ML models,yc-w21
corecare,CoreCare,corecare.ai,Healthcare IT,S20,Helping healthcare providers reduce administrative costs using AI,yc-s20
volopay,Volopay,volopay.com,Payments,S20,Brex for South East Asia - Corporate cards & automated payments.,yc-s20
revenir,Revenir,revenir.ai,Consumer Finance,W20,First API solution for tax returns.,yc-w20
wasmer,Wasmer,wasmer.io,Infrastructure,S19,The Operating System for Edge Computing,yc-s19
asayer,OpenReplay,openreplay.com,Infrastructure,S19,"Open-source, self-hosted, session replay tool for developers.",yc-s19
mudrex,Mudrex,mudrex.com,Asset Management,W19,India's largest crypto investing paltform,yc-w19
glowing-io,Glowing.io,glowing.io,B2B,W18,"Unified, enterprise messaging platform for leading brands of the world",yc-w18
mtailor,MTailor,mtailor.com,Apparel and Cosmetics,S14,Get measured by your phone in under 30 seconds for perfect fitting…,yc-s14
movedot,MOVEdot,movedot.ai,"Engineering, Product and Design",F25,AI Agents for Hardware Engineering,yc-f25
veritus,Veritus,veritus.com,Credit and Lending,S25,AI agents for the consumer lending industry,yc-s25
qualgent,QualGent,qualgent.link,B2B,X25,AI Mobile App Quality Assurance Tester,yc-x25
contrario,Contrario,contrario.ai,Recruiting and Talent,W25,Fill critical roles faster with AI-empowered recruiters,yc-w25
origami-2,Origami,origami.chat,Sales,F24,AI that finds your perfect customers,yc-f24
pipeshift,Pipeshift,pipeshift.com,Infrastructure,S24,Modular Orchestration Platform for Open Source AI,yc-s24
k-scale-labs,K-Scale Labs,kscale.dev,Consumer Electronics,W24,Open-source humanoid robots,yc-w24
retailready,RetailReady,retailreadyai.com,Supply Chain and Logistics,W24,An AI-powered supply chain compliance engine,yc-w24
tamarind-bio,Tamarind Bio,tamarind.bio,B2B,W24,Easy to use computational biology tools for drug discovery,yc-w24
alguna,Alguna,alguna.com,Finance and Accounting,S23,AI-Native CPQ & Billing for Modern Pricing Models,yc-s23
twenty,Twenty,twenty.com,B2B,S23,Open Source CRM,yc-s23
strada,Strada,getstrada.com,B2B,S23,Phone AI agents for insurance,yc-s23
maven-bio,Maven Bio,mavenbio.com,B2B,S23,The AI Platform for Life Sciences Intelligence,yc-s23
safetykit,SafetyKit,safetykit.com,B2B,S23,"AI agents for risk, compliance, and safety",yc-s23
inventive-ai,Inventive AI,inventive.ai,Sales,S23,AI Agents For RFP and Questionnaire Response Automation,yc-s23
refine,refine,refine.dev,"Engineering, Product and Design",S23,Open-source Retool for enterprise,yc-s23
atla,Atla,atla-ai.com,B2B,S23,The improvement engine for AI agents,yc-s23
sante,Santé,santehq.com,Retail,S23,All-in-one POS for liquor stores,yc-s23
andromeda-surgical,Andromeda Surgical,andromedasurgical.com,Medical Devices,S23,Autonomous surgical robots,yc-s23
artie,Artie,artie.com,Infrastructure,S23,Software that streams data from databases to warehouses in real-time,yc-s23
pierre,Pierre,pierre.co,"Engineering, Product and Design",W23,"Pierre is a new, opinionated, git platform.",yc-w23
raptorgrid,RaptorGrid,raptorgrid.com,Fintech,W23,AI Employees for Finance,yc-w23
reflex,Reflex,reflex.dev,Infrastructure,W23,The operating system for building mission-critical enterprise apps.,yc-w23
diffuse-bio,Diffuse Bio,diffuse.bio,Drug Discovery and Delivery,W23,Generative AI for protein design,yc-w23
bujeti,Bujeti,bujeti.com,Finance and Accounting,W23,Corporate cards and expenses management platform for African…,yc-w23
scanbase,Scanbase,scanbase.com,Diagnostics,W23,"The API for Diagnostic Test Analysis (COVID-19, FLU, RSV, STD,…",yc-w23
aldara,Aldara,aldara.com,Real Estate and Construction,S22,HOA manager with automated operations,yc-s22
tank-payments,Tank Payments,tankpayments.com,Payments,S22,Modern financial infrastructure for the trucking industry.,yc-s22
coris,Coris,coris.ai,Infrastructure,S22,"AI risk and ops platform for Payment Processors, Banks, SaaS…",yc-s22
rio,Rio,rio.trade,Payments,S22,LATAM’s largest stablecoin FX and liquidity provider,yc-s22
axle,Axle,axle.insure,Insurance,S22,Universal API for insurance,yc-s22
unify,Unify,unify.ai,Infrastructure,W23,Hire AI — Not APIs ✨,yc-w23
activepieces,Activepieces,activepieces.com,"Engineering, Product and Design",S22,"Open-source, AI-first and no-code business automation tool",yc-s22
codecrafters,CodeCrafters,codecrafters.io,Job and Career Services,S22,Programming courses for experienced engineers,yc-s22
lamin,Lamin,lamin.ai,Healthcare IT,S22,Open data framework for biology,yc-s22
accessowl,AccessOwl,accessowl.io,Infrastructure,S22,Managing your Employees' Access to SaaS,yc-s22
aviaryai,AviaryAI,helloaviary.ai,Fintech,S22,Outbound AI voice agents for the financial services industry,yc-s22
windmill,Windmill,windmill.dev,Infrastructure,S22,Open-source platform to turn scripts into internal apps & workflows,yc-s22
blaze,Blaze,withblaze.app,B2B,W22,Marketing automation for the modern world,yc-w22
dart,Dart,dartai.com,Productivity,W22,The only truly AI-native project management tool,yc-w22
argo,Argo,argo.la,Content,W22,A social streaming platform powered by creators and fans,yc-w22
letterdrop,Letterdrop,letterdrop.com,Sales,W20,Book more meetings with conversational intent,yc-w20
vimmerse,Vimmerse,vimmerse.net,"Engineering, Product and Design",W22,Bring your photos to life with Vimmerse,yc-w22
wagetap,Wagetap,wagetap.com,Credit and Lending,W22,"Advance next payday, and BNPL for bills",yc-w22
unsaddl,Unsaddl,unsaddl.com,Human Resources,W22,education benefits and leave of absence management,yc-w22
heptabase,Heptabase,heptabase.com,Consumer,W22,"An intelligent, visual knowledge base for learning complex topics.",yc-w22
compra-rapida,Compra Rápida,comprarapida.co,Retail,W22,One-click checkout and AI sales assistant for LatAm.,yc-w22
poko,Poko,pokoapp.xyz,Fintech,W22,Seamless Fiat Payments for Web3,yc-w22
axross-pte-ltd,Axross Pte Ltd,axross.co,"Engineering, Product and Design",W22,AI-driven HVAC control system for improved energy performance,yc-w22
mysivi,MySivi,mysivi.ai,Education,W22,MySivi - AI English Speaking Practice App,yc-w22
vibe-kanban,Vibe Kanban,vibekanban.com,"Engineering, Product and Design",S21,Plan and review AI generated code,yc-s21
momo-medical,Momo Medical,momomedical.com,Healthcare,S21,We help nurses in nursing homes to be 30% more effective,yc-s21
coulomb-ai,Coulomb AI,coulomb.ai,B2B,S21,Battery Observability Platform for Electric Vehicles,yc-s21
idemeum,idemeum,idemeum.com,Security,S21,AI-powered Application Control,yc-s21
abhi,Abhi,abhi.com.pk,Credit and Lending,S21,Abhi is Pakistan's 1st financial wellness platform focusing on…,yc-s21
onestopkitchen,OneStopKitchen,onestopkitchen.com,Food and Beverage,S21,AI-Driven Tech & Space Optimization to Scale Restaurants,yc-s21
hypertrader,HyperTrader,gethypertrader.com,Fintech,S21,The Trading Terminal For Crypto Traders,yc-s21
abstra,Abstra,abstra.io,"Engineering, Product and Design",S21,Python-based BPM,yc-s21
cero,Cero,cero.ai,B2B,S21,Automated communication between hospitals and patients in Latam,yc-s21
dots-2,Dots 💸,usedots.com,Payments,S21,Developer friendly drop in payouts infrastructure,yc-s21
tablevibe-co,Tablevibe,tablevibe.co,Retail,S21,All-in-one digital ordering system for restaurants,yc-s21
parker,Parker,getparker.com,Banking and Exchange,W19,Parker is a digital bank.,yc-w19
dayra,Dayra,dayra.co,Credit and Lending,W21,Data-driven embedded Financial Services for Gig Workers,yc-w21
expent-inc,Expent Inc,expent.ai,Operations,W21,Procure the right software 5x faster,yc-w21
fractional,Fractional,fractional.app,Fintech,W21,The place where motivated investors and entrepreneurs co-own together.,yc-w21
mindportal,MindPortal,mindportal.com,Consumer Electronics,W21,Thought-to-Language AI Models,yc-w21
flextock,Flextock,flextock.com,Supply Chain and Logistics,W21,Tech-enabled fulfillment provider in the Middle East & Africa,yc-w21
supertokens,SuperTokens,supertokens.com,Security,S20,Open source alternative to Auth0 / AWS Cognito / Firebase Auth,yc-s20
formal,Formal,joinformal.com,B2B,S20,Take control of your data in real-time.,yc-s20
rosebud-ai,Rosebud AI,rosebud.ai,Consumer,S19,Vibe code games.,yc-s19
demand-curve,Demand Curve,demandcurve.com,Education,S19,Learn how to build a scalable growth engine,yc-s19
aura-vision,Aura Vision,auravision.ai,Retail,W19,Visitor analytics for physical retail stores using existing security…,yc-w19
swadesh,Swadesh,swadesh.co,Consumer Finance,S19,"We setup Immigrants with a free US Bank Account, Credit Card, SIM…",yc-s19
avo,Avo,avo.app,Analytics,W19,Fixing data quality in product analytics.,yc-w19
flockjay,Flockjay,flockjay.com,Sales,W19,"AI-driven learning, content, and coaching for sales teams",yc-w19
tall-poppy,Tall Poppy,tallpoppy.com,Human Resources,S18,Protecting your employees against online harassment,yc-s18
owny,OWNY,owny.com,Fintech,S18,"Manage capital, investors & banking in one place.",yc-s18
draftbit,Draftbit,draftbit.com,"Engineering, Product and Design",W18,Build mobile apps visually. Source-code included.,yc-w18
voiceops,Voiceops,voiceops.com,Sales,W17,We help B2C companies learn from every customer interaction,yc-w17
ebrandvalue,eBrandvalue,ebrandvalue.com,Marketing,W15,Real-time Nielsen ratings for Brands.Accelerate marketing and product…,yc-w15
dyspatch,Dyspatch,dyspatch.io,Marketing,W14,Two products to help everyone email better. Dyspatch.io - Email…,yc-w14
dedalus-labs,Dedalus Labs,dedaluslabs.ai,B2B,S25,Connect any LLM to any MCP tools and create complex agents in minutes.,yc-s25
cactus,Cactus,cactuscompute.com,"Engineering, Product and Design",S25,Kernels & Engine for running AI on consumer devices.,yc-s25
qfex,QFEX,qfex.com,Banking and Exchange,X25,24/7 Global Stock Exchange,yc-x25
weave-3,Weave,workweave.dev,"Engineering, Product and Design",W25,AI to understand engineering work,yc-w25
firstwork,FirstWork,firstwork.com,Human Resources,S24,Rippling for seasonal workers,yc-s24
assembly-hoa,Assembly HOA,assemblyhoa.com,Housing and Real Estate,S24,AI-enabled HOA Management Company,yc-s24
ego,ego,egoai.com,Consumer,W24,"Character AI + Roblox :persistent, sapient AI characters in 3D worlds",yc-w24
marr-labs,Marr Labs,marrlabs.com,B2B,W24,AI-voice agents that are indistinguishable from humans.,yc-w24
getcrux,GetCrux,getcrux.ai,Analytics,W24,AI Creative Strategist,yc-w24
roe,ROE,getroe.ai,Infrastructure,W24,AI for risk and compliance,yc-w24
coba,Coba,coba.ai,Fintech,S23,Dual Currency Accounts For LatAm,yc-s23
continue,Continue,continue.dev,"Engineering, Product and Design",S23,Ship as fast as you code,yc-s23
guac,Guac,guac-ai.com,Supply Chain and Logistics,S23,AI-powered demand forecasting for grocery,yc-s23
traceloop,Traceloop,traceloop.com,B2B,W23,Know what your LLM is doing — and why it’s failing,yc-w23
conduit,Conduit,helloconduit.com,Supply Chain and Logistics,W23,Air Traffic Control for Warehouses,yc-w23
syncly,Syncly,syncly.app,"Engineering, Product and Design",W23,AI to auto-analyze all your customer communications,yc-w23
trigger-dev,Trigger.dev,trigger.dev,"Engineering, Product and Design",W23,Build and deploy fully‑managed AI agents and workflows,yc-w23
namecard-ai,Namecard.ai,namecard.ai,B2B,S22,AI-powered business matchmaking,yc-s22
brainboard,Brainboard,brainboard.co,"Engineering, Product and Design",W22,Visually design and manage cloud infrastructures.,yc-w22
boya,Boya,boyahq.com,Fintech,W22,Corporate Expense cards and Spend management for businesses in Africa,yc-w22
venue-ink,Venue.ink,venue.ink,Payments,W22,Software for tattoo artists and studios,yc-w22
subscriptionflow,SubscriptionFlow,subscriptionflow.com,Sales,W22,AI based Customizable Subscription & Revenue Management Platform,yc-w22
emobi,Emobi,emobi.ai,B2B,W22,A single point integration for secure and automated EV charging.,yc-w22
pipekit,Pipekit,pipekit.io,Infrastructure,S21,Pipekit scales data & CI pipelines for enterprises,yc-s21
safebeat,SafeBeat,safebeat.com,Medical Devices,S21,Guiding cardiac therapeutics - all from your phone,yc-s21
zaz-os,Zaz OS,zazos.com,B2B,S21,Lovable for internal products,yc-s21
parallel-bio,Parallel Bio,parallel.bio,Drug Discovery and Delivery,S21,Using the immune system to cure disease,yc-s21
jestor,Jestor,jestor.com,Productivity,S21,Jestor is a no-code platform for creating custom business tools.,yc-s21
varos,Varos,varos.com,Analytics,S21,AI Business Analysts to gather requirements and optimize processes,yc-s21
suplias,Suplias,suplias.com,Fintech,S21,We enable FMCG distributors in Africa buy inventory on credit,yc-s21
asim,aSim,asim.sh,Consumer,S21,Build and share apps with friends,yc-s21
text-blaze,Text Blaze,blaze.today,Productivity,W21,Slash commands anywhere,yc-w21
prequel,Prequel,prequel.co,Analytics,W21,Helping B2B co's sync data to their customers,yc-w21
farel,Farel,farel.io,Operations,S20,Next-gen airline OS,yc-s20
candidate-ly,Candidate.ly,candidate.ly,Recruiting and Talent,S17,The digital storefront for staffing and recruiting teams.,yc-s17
sakneen,Sakneen,sakneen.com,Housing and Real Estate,W20,Shopify for Real Estate Developers,yc-w20
oda,Oda,odastudio.ai,Marketing,W20,AI Agent for Home Design,yc-w20
flux,Flux,paywithflux.com,Payments,S19,Flux is building the payment network for alternative payments in…,yc-s19
tailornova-couturme,Tailornova/Couturme,patternfast.com,B2B,W19,AI for Instantly Manufacturable Fashion,yc-w19
vimcal,Vimcal,vimcal.com,Productivity,S18,"The world's fastest calendar, beautifully designed for remote teams.",yc-s18
college-pulse,College Pulse,collegepulse.com,Analytics,S18,Research and analytics company focused on college students.,yc-s18
meitre,Meitre,meitre.com,Retail,W18,Opentable for the world's top restaurants; we help them increase…,yc-w18
apozy,Apozy,apozy.com,Security,W17,Apozy makes every website safe to browse,yc-w17
tab,Tab,tab.travel,"Travel, Leisure and Tourism",W15,"Revolutionising the way travellers discover, plan and book a trip",yc-w15
samora-ai,Samora AI,samora.ai,B2B,W26,Multilingual voice agents with safe human escalation when needed,yc-w26
leadbay,Leadbay,leadbay.ai,Sales,F25,Discover and qualify SMB leads that couldn't be found before.,yc-f25
brickanta,Brickanta,brickanta.com,Infrastructure,F25,"Construction's AI platform for bid analysis, estimation and…",yc-f25
zavo,Zavo,zavopay.com,Payments,F25,AI Point of Sale for Restaurants,yc-f25
sixtyfour,Sixtyfour,sixtyfour.ai,Operations,X25,People Intelligence at Scale,yc-x25
blaxel,Blaxel,blaxel.ai,B2B,X25,The perpetual sandbox platform,yc-x25
synthiolabs,SynthioLabs,synthiolabs.com,Healthcare,X25,Agentic AI platform for Pharma GTM teams,yc-x25
strike,Strike,tradestrike.app,Consumer,W25,Regulated futures exchange,yc-w25
mastra,Mastra,mastra.ai,"Engineering, Product and Design",W25,"The Javascript framework for building AI agents, from the Gatsby devs",yc-w25
leaping-ai,Leaping AI,leapingai.com,B2B,W25,Voice AI agents to automate call centers (digital call center workers),yc-w25
unsloth-ai,Unsloth AI,unsloth.ai,"Engineering, Product and Design",S24,Open-Source Reinforcement Learning (RL) & Fine-tuning for LLMs.,yc-s24
spur,Spur,spurtest.com,"Engineering, Product and Design",S24,Spur is your AI QA Engineer. Test your websites with natural language.,yc-s24
argil,Argil,argil.ai,Consumer,S24,The video generation engine for the creator economy,yc-s24
fazeshift,Fazeshift,fazeshift.com,Finance and Accounting,S24,AI agent for Accounts Receivable,yc-s24
crowdvolt,CrowdVolt,crowdvolt.com,Consumer,W24,The integration layer for live events infrastructure,yc-w24
senso,Senso,senso.ai,B2B,W24,Control what AI says about you,yc-w24
andon-labs,Andon Labs,andonlabs.com,"Engineering, Product and Design",W24,Autonomous organizations without humans in the loop,yc-w24
flex,Flex,withflex.com,Payments,S23,Stripe for HSA/FSA payments,yc-s23
tempo-2,Tempo,tempo.new,"Engineering, Product and Design",S23,"Visual Editor for React, powered by AI",yc-s23
fiber-ai,Fiber AI,fiber.ai,B2B,S23,"The freshest data APIs for AI sales, recruiting, & growth products",yc-s23
paradedb,ParadeDB,paradedb.com,B2B,S23,The transactional Elasticsearch alternative built on Postgres,yc-s23
serra,Serra,serra.io,Recruiting and Talent,S23,Your 24/7 AI Recruiter,yc-s23
sohar-health,Sohar Health,soharhealth.com,Healthcare IT,S23,AI-powered insurance verification to boost patient conversion.,yc-s23
skyvern,Skyvern,skyvern.com,Infrastructure,S23,Open Source AI Agent to automate browser workflows via an API,yc-s23
readily,Readily,readily.co,Healthcare,S23,AI Compliance Platform for Healthcare Organizations,yc-s23
palomma,Palomma,palomma.com,Real Estate and Construction,W23,AI Agents for Residential Property Managers & Real Estate Developers,yc-w23
variance,Variance,variance.co,Security,W23,AI Agents for Fraud Review and Investigations,yc-w23
shortloop,ShortLoop,shortloop.dev,"Engineering, Product and Design",W23,Phone AI that Captures Every Dealership Revenue Opportunity,yc-w23
rift,rift,rift.com,Sales,W23,The sales platform built to help you focus,yc-w23
berry,Berry,berryai.com,Operations,W23,Scale customer success and onboarding with AI,yc-w23
common-paper,Common Paper,commonpaper.com,Sales,W23,The SAFE for commercial contracts,yc-w23
depot,Depot,depot.dev,"Engineering, Product and Design",W23,Build faster. Waste less time.,yc-w23
drdroid,DrDroid,drdroid.io,"Engineering, Product and Design",W23,Your best friend in production.,yc-w23
cloudchipr,Cloudchipr,cloudchipr.com,B2B,W23,Workflow Automation for Cloud Operations,yc-w23
anchor,Anchor,getanchor.co,Fintech,S22,Embedded finance platform for African businesses,yc-s22
coupl,Coupl,coupl.money,Banking and Exchange,S22,A neobank for couples in India,yc-s22
craze,Craze,crazehq.com,Human Resources,S22,"All-in-one Payroll, HR and IT for India",yc-s22
silkchart,SilkChart,silkchart.com,Sales,S22,AI Sales Assistant to increase playbook adoption and win more deals,yc-s22
levers,Levers,uselevers.com,Finance and Accounting,S22,Automating collection and boosting cashflow for B2B companies,yc-s22
cone,Cone,getcone.io,Finance and Accounting,S22,Work operating system for professional service businesses,yc-s22
drahim,Drahim 💰,drahim.sa,Fintech,S22,WealthFront for Saudi & Middle East,yc-s22
harmonic-discovery,Harmonic Discovery,harmonicdiscovery.com,Drug Discovery and Delivery,S21,Multi-targeted therapeutics to treat complex diseases,yc-s21
argument-computer-corporation,Argument Computer Corporation,argument.xyz,B2B,W22,Accelerate verifiable computing,yc-w22
goodfin,goodfin,goodfin.com,Fintech,W22,Building the next generation of wealth,yc-w22
strong-compute,Strong Compute,strongcompute.com,B2B,W22,10x-1000x faster compute for Neural Network training,yc-w22
stably-ai,Stably AI,stably.ai,"Engineering, Product and Design",W22,"AI Testing that Writes, Runs & Maintains Tests for Every PR & Release",yc-w22
